codigo_a,codigo_b,establecimiento_a,establecimiento_b,score_nombre,score_direccion,mismo_telefono,misma_jornada,mismo_plan
16-14-0113-46,16-14-0114-46,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,100.0,75.9,False,True,True
16-14-0115-46,16-14-0116-46,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,100.0,100.0,False,True,True
16-13-0225-46,16-13-0226-46,LICEO MIXTO EN COMPUTACION DEL NORTE,LICEO MIXTO EN COMPUTACION DEL NORTE,100.0,100.0,False,True,True
16-01-0481-46,16-01-0664-46,LICEO AMERICANO DEL NORTE,LICEO AMERICANO DEL NORTE,100.0,82.6,True,True,True
16-01-0559-46,16-01-8849-46,INSTITUTO NORMAL PRIMARIA BILINGUE INTERCULTURAL ADS. AL INSTITUTO EMILIO ROSALES PONCE,INSTITUTO NORMAL PRIMARIA BILINGUE INTERCULTURAL ADS. AL INSTITUTO EMILIO ROSALES PONCE,100.0,100.0,False,True,True
16-01-0587-46,16-01-0588-46,LICEO MIXTO EN COMPUTACION DEL NORTE,LICEO MIXTO EN COMPUTACION DEL NORTE,100.0,100.0,True,True,True
16-01-0666-46,16-01-9851-46,"COLEGIO DE INFORMÁTICA ""CENINFAV""",COLEGIO DE INFORMATICA CENINFAV,96.9,71.8,True,True,True
16-01-0926-46,16-01-0927-46,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,100.0,87.5,True,True,True
16-01-1046-46,16-01-1047-46,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,100.0,71.4,False,True,True
16-16-0135-46,16-16-0139-46,LICEO CRISTIANO EBENEZER,LICEO CRISTIANO EBENEZER,100.0,100.0,True,True,True
16-17-0123-46,16-17-0151-46,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,100.0,100.0,True,True,True
16-03-0076-46,16-03-0082-46,COLEGIO MIXTO CIENCIAS TECNOLÓGICAS,COLEGIO MIXTO CIENCIAS TECNOLÓGICAS,100.0,98.8,False,True,True
16-03-0077-46,16-03-0083-46,COLEGIO MIXTO CIENCIAS TECNOLÓGICAS,COLEGIO MIXTO CIENCIAS TECNOLÓGICAS,100.0,98.8,False,True,True
16-03-0088-46,16-03-1520-46,LICEO GALILEO GALILEI,LICEO GALILEO GALILEI,100.0,100.0,True,True,True
16-03-0271-46,16-03-0272-46,COLEGIO DE FORMACIÓN TÉCNICO-PROFESIONAL NEXUS,COLEGIO DE FORMACIÓN TÉCNICO-PROFESIONAL NEXUS,100.0,100.0,True,True,True
16-03-0271-46,16-03-0273-46,COLEGIO DE FORMACIÓN TÉCNICO-PROFESIONAL NEXUS,COLEGIO DE FORMACIÓN TÉCNICO-PROFESIONAL NEXUS,100.0,100.0,True,True,True
16-03-0272-46,16-03-0273-46,COLEGIO DE FORMACIÓN TÉCNICO-PROFESIONAL NEXUS,COLEGIO DE FORMACIÓN TÉCNICO-PROFESIONAL NEXUS,100.0,100.0,True,True,True
16-03-9884-46,16-03-9885-46,LICEO SAN CRISTOBAL,LICEO SAN CRISTOBAL,100.0,100.0,True,True,True
16-10-0067-46,16-10-1400-46,INSTITUTO TECNICO EN RECURSOS NATURALES,INSTITUTO TECNICO EN RECURSOS NATURALES,100.0,100.0,True,True,True
16-06-0106-46,16-06-0145-46,"CENTRO DE FORMACION ACADEMICA, TECNOLOGICA Y OCUPACIONAL ""JACK & MARIE EITING""","CENTRO DE FORMACION ACADÉMICA, TECNOLÓGICA Y OCUPACIONAL JACK & MARIE EITING",92.2,100.0,False,True,True
16-09-0007-46,16-09-0870-46,CENTRO EDUCATIVO NUEVA VIDA,CENTRO EDUCATIVO NUEVA VIDA,100.0,97.7,True,True,True
16-09-0748-46,16-09-0760-46,LICEO INTERCULTURAL VERAPACENSE,LICEO INTERCULTURAL VERAPACENSE,100.0,100.0,False,True,True
16-09-0820-46,16-09-0938-46,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,94.7,71.0,False,True,True
16-09-0827-46,16-09-0839-46,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,100.0,72.0,False,True,True
16-09-0837-46,16-09-0882-46,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,100.0,78.3,False,True,True
16-09-0837-46,16-09-0883-46,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,100.0,75.0,False,True,True
16-09-0837-46,16-09-0885-46,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,100.0,72.7,False,True,True
16-09-0838-46,16-09-0839-46,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,100.0,74.1,False,True,True
16-09-0838-46,16-09-0883-46,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,100.0,74.1,False,True,True
16-09-0838-46,16-09-0939-46,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,94.7,76.9,False,True,True
16-09-0839-46,16-09-0939-46,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,94.7,72.0,False,True,True
16-09-0844-46,16-09-0863-46,COLEGIO SAGRADA FAMILIA,COLEGIO SAGRADA FAMILIA,100.0,97.8,True,True,True
16-09-0880-46,16-09-0883-46,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,100.0,72.0,False,True,True
16-09-0880-46,16-09-0885-46,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,100.0,78.3,False,True,True
16-09-0882-46,16-09-0883-46,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,100.0,72.0,False,True,True
16-09-0882-46,16-09-0939-46,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,94.7,75.0,False,True,True
16-09-0883-46,16-09-0885-46,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,100.0,83.3,False,True,True
16-09-0883-46,16-09-0939-46,INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,94.7,72.0,False,True,True
16-09-0945-46,16-09-0946-46,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,INED INSTITUTO NACIONAL DE EDUCACIÓN DIVERSIFICADA,100.0,100.0,False,True,True
16-08-0204-46,16-08-0206-46,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA,100.0,81.1,False,True,True
16-04-0047-46,16-04-1233-46,COLEGIO PARTICULAR MIXTO BLAISE PASCAL,COLEGIO PARTICULAR MIXTO BLAISE PASCAL,100.0,71.4,False,True,True
